Date_dissected,Date_collected,Month_collected,Month_day,Year,Site,Genus,Species,ID#,Hali,Haem,Total,Gen_sample?,Adult_nymph,Body_length,Head_width,Notes
8/7/2020,,,,,LOWE,Pachydiplax,,1,0,0,0,,adult,,,
8/7/2020,,,,,LOWE,Pachydiplax,,2,0,0,0,,adult,,,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Anax,junius,A,1,0,1,1,nymph,29.089,7.367,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Tramea,,B,0,0,0,,nymph,24.355,7.687,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Tramea,,C,0,0,0,,nymph,17.062,5.15,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Pachydiplax,,D,1,0,1,1,nymph,11.456,3.418,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Unknown,,E,0,0,0,,nymph,11.974,2.851,
8/27/2021,6/15/2021,June,6/15,2021,LOWE,Pachydiplax,,F,0,0,0,,nymph,11.758,3.733,
3/24/2022,8/5/2020,August,8/5,2020,LOWE,Pachydiplax,,A,0,0,0,,adult,36.335,6.04,
3/24/2022,8/6/2020,August,8/6,2020,LOWE,Pachydiplax,,A,0,0,0,,adult,34.916,5.912,
3/24/2022,8/6/2020,August,8/6,2020,LOWE,Pachydiplax,,B,0,0,0,,adult,35.09,6.278,
3/24/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,A,0,1,1,,adult,17.962,,
3/24/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,B,0,3,3,,adult,24.036,3.254,
3/24/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,C,0,0,0,,adult,22.886,2.72,
3/24/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,D,0,0,0,,adult,23.563,2.98,
3/24/2022,7/21/2020,July,7/21,2020,LOWE,Ischnura,,E,0,0,0,,adult,22.896,3.021,
3/24/2022,7/9/2020,July,7/9,2020,LOWE,Pachydiplax,,A,0,0,0,,adult,34.464,6.132,
3/24/2022,7/9/2020,July,7/9,2020,LOWE,Pachydiplax,,B,0,0,0,,adult,34.261,6.182,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,A,0,0,0,,nymph,5.423,2.187,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,B,0,0,0,,nymph,6.467,2.365,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,C,0,0,0,,nymph,5.928,2.18,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,D,0,0,0,,nymph,4.041,1.672,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Pachydiplax,,A,0,0,0,,nymph,5.595,2.033,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,E,0,0,0,,nymph,7.735,2.901,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,F,0,0,0,,nymph,7.173,2.784,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Erithemis,,G,0,0,0,,nymph,8.327,2.983,
3/25/2022,6/15/2021,June,6/15,2021,LOWE,Pachydiplax,,B,0,0,0,,nymph,12.691,4.271,
